field,original_text,word_count,unique_words,categorical_diversity,quantum_circuit_qubits,semantic_interference,emotional_intensity,analysis_version,collapse_mode,collapse_shots,noise_level,von_neumann_entropy_pre,superposition_strength_pre,quantum_coherence_pre,frame_competition_pre,multiple_reality_strength_pre,von_neumann_entropy_post,superposition_strength_post,quantum_coherence_post,frame_competition_post,multiple_reality_strength_post,frame_competition_delta,collapse_unique_outcomes,record_id,data_source
新聞標題,麥當勞性侵案後改革 董事長發聲承諾改善McDonald's Pledges Reform After Assault Scandal,19,19,8,4,0.0,0.05263157894736842,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7052631578935826,3.998081570212422,3.7493419647216797,0.9373354911804199,0.9995203925531055,1.70490402229403,0.00047960744112363063,16,0,AI_Generated
影片對話,"主持人A：「這次麥當勞的公開信算是一種企業危機處理，強調改革，但這樣的措施真的能解決問題嗎？」

📌 名嘴B：「我覺得這封信是必要的，畢竟這起事件社會輿論極大，消費者抵制聲浪也很強。但企業真正要做的，...",282,152,26,4,0.017236277283353963,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.705170883183852,3.9982852606664507,3.749411106109619,0.9373527765274048,0.9995713151666127,1.7048495886621764,0.00042868482761648785,16,0,AI_Generated
影片描述,台灣麥當勞於今（19日）發表最新聲明，針對去年底發生的職場性侵案，首次公布「3大安心作為」，並承諾加強員工保護機制，提升企業責任。董事長李昌霖發表公開信，強調「沒有任何藉口，企業必須檢討！」，承諾確保...,214,136,23,4,0.01440574168094946,0.014018691588785047,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.705723591662009,3.9976905828117655,3.749195098876953,0.9372987747192383,0.9994226457029415,1.705286160354533,0.0005773542912876906,16,0,AI_Generated
新聞標題,"回收3.87元遭貪污起訴？清潔隊員案掀社會熱議""Garbage Collectors Indicted for $3.87 Bribery? Public Outrage Ensues""",25,23,6,4,0.003175803402646504,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7009527410196397,3.996696664601051,3.748861312866211,0.9372153282165527,0.9991741661502628,1.700332099397331,0.0008258338439663948,16,1,AI_Generated
影片對話,"主持人A：今天我們要討論的是近期引發廣泛關注的清潔隊夫妻貪污案，吳姓男子因為轉送二手家具，竟然面臨五年以上的刑責，這樣的判決合理嗎？

名嘴B：這根本就是大砲打小鳥！法條的原意是要防止貪污，但這次的案...",296,180,22,4,0.018078912245578904,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7054236736725195,3.99708525834307,3.74898624420166,0.937246561050415,0.9992713145857675,1.7048724342714914,0.0007286854084617156,16,1,AI_Generated
影片描述,台北市萬華區一對清潔隊工作的吳姓夫妻，因涉嫌私自將回收物品轉贈朋友，觸犯《貪污治罪條例》，台北地檢署已正式起訴。然而，案件涉及的不法金額僅新台幣 3.87 元，引發社會廣泛討論。 檢察官表示，根據法律...,205,151,21,4,0.012621183709315276,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7037863551116403,3.9971430106940966,3.7490320205688477,0.9372580051422119,0.9992857526735242,1.7032563138750385,0.0007142473207050193,16,1,AI_Generated
新聞標題,Google示警！AI詐騙電話橫行，Gmail用戶警惕Google Alert! AI Scam Calls Targeting Gmail Users,20,17,5,4,0.00726643598615917,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7021799307946934,3.998012592364561,3.749319553375244,0.937329888343811,0.9995031480911403,1.7018083817641734,0.0004968519030889018,16,2,AI_Generated
影片對話,"
主持人：最近 Google 針對 Gmail 用戶發布「紅色警報」，指出 AI 詐騙電話與郵件正在橫行，這手法有多危險？

資安專家 A：這次的詐騙可怕之處在於「偽造度極高」。駭客利用 AI 模仿 ...",268,171,23,4,0.01069164284252279,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7032074928516026,3.998585965558476,3.7495107650756836,0.9373776912689209,0.999646491389619,1.702941097160954,0.0003535086046101421,16,2,AI_Generated
影片描述,Google 近日向全球 18 億 Gmail 用戶發布**「紅色警報」**，警告 AI 驅動的詐騙手法正在猖獗，台灣民眾務必提高警覺！這類詐騙手法會透過 AI 偽造電話和電子郵件，讓用戶誤以為 Gm...,245,140,24,4,0.011844023323615161,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.7035532069959303,3.996020023400559,3.74862003326416,0.93715500831604,0.9990050058501397,1.7028022214727767,0.0009949941440894339,16,2,AI_Generated
新聞標題,台男走私22公斤古柯鹼入日 創個人紀錄Taiwanese Man Smuggles 22kg Cocaine to Japan,20,19,7,4,0.0024930747922437668,0.0,fast_qiskit_with_collapse_v2.0,post_readout,4096,0.0,3.9999999999769167,3.75,0.9375,0.9999999999942292,1.700747922436519,3.9984091680150406,3.749448299407959,0.9373620748519897,0.9996022920037602,1.700447700601609,0.0003977079904690095,16,3,AI_Generated
