record_id,field,original_text,word_count,emotion_positive_amplitude,emotion_neutral_amplitude,emotion_negative_amplitude,reform_positive_amplitude,reform_reactive_amplitude,reform_superficial_amplitude,positive_emotion_intensity,negative_emotion_intensity,active_voice_bonus,future_tense_bonus,context_type,reform_word_count,frame_competition,emotion_frame_strength,reform_frame_strength,frame_entanglement,von_neumann_entropy,semantic_interference,multiple_reality_strength,frame_conflict_strength,semantic_ambiguity,circuit_depth,circuit_gates,qubit_count,quantum_frames_enabled,analysis_version
0,新聞標題,麥當勞性侵案後改革 董事長發聲承諾改善McDonald's Pledges Reform After Assault Scandal,24,0.955913995538849,0.29364678294330654,0.0,0.725,0.22499999999999998,0.05,0.765,0.0,0.0,0.0,normal,2,0.6879622621848407,0.5465000059441738,0.0,0.012136988803806018,0.6879622621848409,0.0002126953124999999,0.4852487134676863,0.37316094683887113,0.4347449384973357,2,7,6,True,quantum_frames_v1.0
1,新聞標題,"回收3.87元遭貪污起訴？清潔隊員案掀社會熱議""Garbage Collectors Indicted for $3.87 Bribery? Public Outrage Ensues""",33,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.05,normal,0,0.9182238168403147,0.2962739999999999,0.15262599999999998,0.009742239437999994,0.9182238168403144,0.00042231445312500016,0.3674162210720634,0.18851588308706296,0.5999838027560946,2,7,6,True,quantum_frames_v1.0
2,新聞標題,Google示警！AI詐騙電話橫行，Gmail用戶警惕Google Alert! AI Scam Calls Targeting Gmail Users,27,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000007,0.009742239437999999,0.9182238168403144,0.00028203124999999995,0.3673741361111258,0.1885158830870629,0.5999417177951571,2,7,6,True,quantum_frames_v1.0
3,新聞標題,台男走私22公斤古柯鹼入日 創個人紀錄Taiwanese Man Smuggles 22kg Cocaine to Japan,24,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403144,0.29627400000000004,0.15262600000000007,0.009742239438,0.9182238168403144,0.00019379882812500015,0.3673476663845633,0.1885158830870629,0.5999152480685946,2,7,6,True,quantum_frames_v1.0
4,新聞標題,"AI 自我複製驚現！研究揭示潛在風險""AI Self-Replication Found! Study Reveals Risks""",28,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.2962739999999999,0.15262600000000007,0.009742239437999995,0.9182238168403144,0.00021269531249999986,0.3673533353298758,0.1885158830870629,0.5999209170139073,2,7,6,True,quantum_frames_v1.0
5,新聞標題,"曹興誠遭爆婚外情 回應：AI照可造假Cao Xingcheng’s Affair Exposed, Calls AI Photos Fake",27,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262599999999998,0.009742239437999997,0.9182238168403144,0.0002392578124999999,0.36736130407987583,0.1885158830870629,0.5999288857639072,2,7,6,True,quantum_frames_v1.0
6,新聞標題,"Joeman與孫生合作惹議 急下架影片道歉Joeman Faces Backlash, Deletes Video & Apologizes",24,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262599999999998,0.009742239437999997,0.9182238168403144,0.0002392578124999999,0.36736130407987583,0.1885158830870629,0.5999288857639072,2,7,6,True,quantum_frames_v1.0
7,新聞標題,《紐時》：川普言論對台灣敲響警鐘NYT: Trump’s Remarks a Wake-Up Call for Taiwan,29,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000004,0.009742239437999999,0.9182238168403144,0.00018769531249999998,0.3673458353298758,0.1885158830870629,0.5999134170139072,2,7,6,True,quantum_frames_v1.0
8,新聞標題,"勞保2024年收支逆差665億 2031年恐破產 Labor Insurance Deficit Hits NT$66.5B, Bankruptcy by 2031?",32,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403146,0.2962739999999999,0.15262600000000007,0.009742239437999995,0.9182238168403144,0.00033637695312499965,0.3673904398220634,0.18851588308706294,0.5999580215060947,2,7,6,True,quantum_frames_v1.0
9,新聞標題,聯發科推出 Breeze 2：繁體中文 AI 重大突破！MediaTek Unveils Breeze 2: A Breakthrough in Traditional Chinese AI!,35,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403144,0.29627400000000004,0.15262600000000007,0.009742239438,0.9182238168403144,0.0004499999999999996,0.3674245267361258,0.1885158830870629,0.5999921084201572,2,7,6,True,quantum_frames_v1.0
10,新聞標題,"台灣旅客控日本機場安檢性騷 JAL調查Taiwan Traveler Accuses Japan Airport Security, JAL Probes",26,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403144,0.29627400000000004,0.15262600000000007,0.009742239438000004,0.9182238168403147,0.00028950195312500026,0.3673763773220633,0.1885158830870629,0.5999439590060949,2,7,6,True,quantum_frames_v1.0
11,新聞標題,川普推對等關稅 台擴大投資應對挑戰Trump’s Tariff Plan: Taiwan Expands Investment,24,0.0,0.4740998230350174,0.8804710999221753,0.33,0.33,0.34,0.0,0.65,0.0,0.0,normal,0,0.8561480388676245,0.1697960874383795,0.27910391256162076,0.003266126923594696,0.8561480388676248,0.0003875976562500002,0.4325754948439249,0.36786267123532224,0.5723695162183633,2,8,6,True,quantum_frames_v1.0
12,新聞標題,"千億補助遭刪 經長：錢在抽屜卻不能用$100B Subsidy Cut, Minister: Funds Stuck in Drawer",30,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000007,0.009742239437999999,0.9182238168403144,0.00022578125000000023,0.3673572611111258,0.1885158830870629,0.5999248427951572,2,7,6,True,quantum_frames_v1.0
13,新聞標題,"護理師離職潮擴大 台灣醫療瀕臨崩潰""Nurse Exodus Worsens, Taiwan’s Healthcare in Crisis""",27,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262599999999998,0.009742239437999997,0.9182238168403144,0.0002392578124999999,0.36736130407987583,0.1885158830870629,0.5999288857639072,2,7,6,True,quantum_frames_v1.0
14,新聞標題,財政部超徵5283億 國民黨提案普發1萬元Treasury Overcollects $528.3B; KMT Proposes $10K Payout,27,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000007,0.009742239437999999,0.9182238168403144,0.00028203124999999995,0.3673741361111258,0.1885158830870629,0.5999417177951571,2,7,6,True,quantum_frames_v1.0
15,新聞標題,桃園聯結車內輪差釀禍 空服員騎YouBike遭輾不治Cyclist Killed by Truck’s Blind Spot in Taoyuan,28,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000004,0.009742239437999999,0.9182238168403144,0.0002602050781250004,0.3673675882595633,0.1885158830870629,0.5999351699435946,2,7,6,True,quantum_frames_v1.0
16,新聞標題,"范斯批AI監管過嚴 美拒簽巴黎宣言Vance Criticizes AI Rules, US Rejects Paris Pact",25,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403144,0.29627400000000004,0.15262600000000007,0.009742239438,0.9182238168403144,0.00020629882812499972,0.3673514163845633,0.1885158830870629,0.5999189980685947,2,7,6,True,quantum_frames_v1.0
17,新聞標題,"假新聞渲染分屍案 社會動盪加劇 Fake News Fuels Dismemberment Case, Sparks Chaos",21,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.05,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000007,0.009742239437999999,0.9182238168403144,0.00020000000000000033,0.3673495267361258,0.1885158830870629,0.5999171084201572,2,7,6,True,quantum_frames_v1.0
18,新聞標題,"海軍士兵遭母代辦中國身分證 引國安疑慮Navy Soldier Unknowingly Had China ID, Raising Security Concerns",27,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403146,0.2962739999999999,0.15262600000000007,0.009742239437999995,0.9182238168403144,0.00033637695312499965,0.3673904398220634,0.18851588308706294,0.5999580215060947,2,7,6,True,quantum_frames_v1.0
19,新聞標題,"恢復七天國定假 勞工團體：不該有討價還價空間""Restore 7 Public Holidays: Workers Say No to Bargaining""",34,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403144,0.29627400000000004,0.15262600000000007,0.009742239438,0.9182238168403144,0.00030473632812499983,0.3673809476345633,0.1885158830870629,0.5999485293185947,2,7,6,True,quantum_frames_v1.0
20,新聞標題,"太陽花女王劉喬安美國落網 3月遣返台受審Sunflower Queen Liu Chiao-an Arrested in US, Returning to Taiwan in March",36,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403147,0.2962739999999999,0.15262599999999998,0.009742239437999994,0.9182238168403144,0.00042231445312500016,0.3674162210720634,0.18851588308706296,0.5999838027560946,2,7,6,True,quantum_frames_v1.0
21,新聞標題,"DeepSeek權謀改規則，ChatGPT遭騙認輸 DeepSeek Tricks ChatGPT, Wins by Rule Change!",23,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403147,0.2962739999999999,0.15262599999999998,0.009742239437999994,0.9182238168403144,0.00024614257812499994,0.36736336950956344,0.18851588308706296,0.5999309511935947,2,7,6,True,quantum_frames_v1.0
22,新聞標題,"錫蘭揭心靈課程爭議 展瑞言論惹議 Cilan Exposes Self-Help Course Risks, Jeff Sui Criticized",26,0.0,0.2425356250363329,0.9701425001453319,0.33,0.33,0.34,0.0,0.8,0.0,0.0,normal,0,0.7495159484690022,0.15691497013912345,0.2919850298608767,0.0054110865961995835,0.7495159484690022,0.0005347656249999995,0.38996680907510084,0.39260873299190024,0.5165213979498258,2,8,6,True,quantum_frames_v1.0
23,新聞標題,NCC無線設備進口審查費750元惹議NCC’s NT$750 Wireless Import Fee Sparks Debate,25,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000007,0.009742239437999999,0.9182238168403144,0.00020000000000000033,0.3673495267361258,0.1885158830870629,0.5999171084201572,2,7,6,True,quantum_frames_v1.0
24,新聞標題,史書華外遇風波延燒 公眾人物道德標準再受關注Shih Shu-Hua’s Affair Scandal Sparks Debate on Public Morality,33,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000004,0.009742239438000002,0.9182238168403146,0.00034453124999999995,0.3673928861111258,0.1885158830870629,0.5999604677951573,2,7,6,True,quantum_frames_v1.0
25,新聞標題,"高雄連環分屍案震驚社會 警方擴大偵辦 Kaohsiung Dismemberment Case Shocks Public, Probe Expands",24,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.05,normal,0,0.9182238168403145,0.29627400000000004,0.15262600000000007,0.009742239437999999,0.9182238168403144,0.00028203124999999995,0.3673741361111258,0.1885158830870629,0.5999417177951571,2,7,6,True,quantum_frames_v1.0
26,新聞標題,"大S骨灰包機爭議 汪小菲直播怒飆張蘭""Big S Ashes Flight Scandal: Wang Xiaofei Rages Live""",29,0.0,0.2425356250363329,0.9701425001453319,0.33,0.33,0.34,0.0,0.8,0.0,0.0,normal,0,0.7495159484690022,0.15691497013912342,0.2919850298608767,0.0054110865961995835,0.7495159484690022,0.0004922851562499999,0.3899540649344758,0.39260873299190024,0.5165086538092007,2,8,6,True,quantum_frames_v1.0
27,新聞標題,"新北男搶10元自首求牢飯 無保請回""New Taipei Man Robs $0.30, Surrenders, Released""",29,0.0,1.0,0.0,0.33,0.33,0.34,0.0,0.0,0.0,0.0,normal,0,0.9182238168403145,0.2962739999999999,0.15262600000000007,0.009742239437999995,0.9182238168403144,0.00021269531249999986,0.3673533353298758,0.1885158830870629,0.5999209170139073,2,7,6,True,quantum_frames_v1.0
